"","PLT_CN","PREV_PLT_CN","PLOT.STATEAB","INVYR","ELEV","LAT","LON","TPH.PICO","TPH.PIEN","TPH.ABLA","TPH.total","TPH.Allhosts","QMD.PICO","QMD.PIEN","QMD.ABLA","QMD.Allhosts","QMD.total","BA.PICO","BA.PIEN","BA.ABLA","BA.total","BA.Allhosts","BA.Otherhosts","SDI.PICO","SDI.PIEN","SDI.ABLA","stand.MPB","stand.SB","stand.WBBB","stand.allBBs","BA.MPB","BA.SB","BA.WBBB","BA.allBBs","agentSB","agentMPB","agentWBBB","agents","nagents","hostsPICO","hostsPIEN","hostsABLA","hosts","nhosts","STATEFP","STATENS","AFFGEOID","GEOID","STUSPS","NAME","LSAD","ALAND","AWATER"
"4520",37274356010690,-9999,"89689.MT",2010,7600,45.022258,-111.192481,193.3216033879,163.5798182513,29.7417851366,565.0939175954,386.6432067758,27.0884686337762,27.9869819867608,15.8480531296434,26.7879932001691,28.8644751591039,11.1413956868051,10.0631085986652,0.586690654665046,36.9775612194236,21.7911949401354,0,14.0948405603193,12.3718240104393,0.936499316381131,2,0,0,2,1.82359369811826,0,0,1.82359369811826,"absent","MPB","absent","MPB",1,"PICO","PIEN","ABLA","PICO+PIEN+ABLA",3,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4521",37274357010690,-9999,"81788.MT",2010,9220,44.973338,-111.319817,0,14.8708925683,208.1924959562,386.6432067758,223.0633885245,0,26.67,18.0314444869432,18.7317035423904,24.1840815000281,0,0.830755775453651,5.31638485091673,17.7606919312247,6.14714062637038,11.6135513048543,0,1.08119213673231,7.97713249885868,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4522",37274358010690,-9999,"94789.MT",2010,8070,44.842494,-111.189474,0,44.6126777049,208.1924959562,505.6103473222,252.8051736611,0,18.3917750094981,21.9163461435914,21.3367114727314,33.1098409024905,0,1.18521157298054,7.85401407993737,43.5331850257246,9.03922565291791,1.55835466595528,0,1.78852347495542,10.8295440210127,0,0,1,1,0,0,0.544418183914071,0.544418183914071,"absent","absent","WBBB","WBBB",1,"absent","PIEN","ABLA","PIEN+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4523",37274359010690,-9999,"95672.MT",2010,6590,44.706295,-111.185361,29.7417851366,0,0,29.7417851366,29.7417851366,12.954,0,0,12.954,12.954,0.391981092418131,0,0,0.391981092418131,0.391981092418131,0,0.680992419266335,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4524",37274363010690,-9999,"90363.MT",2010,7760,45.132778,-111.342852,74.3544628415,0,0,74.3544628415,74.3544628415,13.4725392706795,0,0,13.4725392706795,13.4725392706795,1.05997655268086,0,0,1.05997655268086,1.05997655268086,0,1.8119068052575,0,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4525",37274417010690,-9999,"91583.MT",2010,6100,48.945125,-113.661951,1546.5728271032,14.8708925683,148.708925683,1710.1526453545,1710.1526453545,16.9311127229861,20.066,16.0291911835875,16.8844930585279,16.8844930585279,34.8202335231662,0.470271818104874,3.00089331133258,38.2913986526037,38.2913986526037,0,53.7305069727809,0.685809262010728,4.73787617966766,1,0,0,1,0.211663761745969,0,0,0.211663761745969,"absent","MPB","absent","MPB",1,"PICO","PIEN","ABLA","PICO+PIEN+ABLA",3,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4526",37274447010690,-9999,"83626.MT",2010,6540,46.719998,-109.229962,0,118.9671405464,0,966.6080169395,118.9671405464,0,20.7120997849083,0,20.7120997849083,21.8313417706675,0,4.00834952156526,0,36.182748346908,4.00834952156526,12.6986200727938,0,5.70929185578287,0,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"absent","PIEN","absent","PIEN",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4527",37274461010690,-9999,"93056.MT",2010,6410,46.608474,-113.739015,1130.1878351908,0,0,1130.1878351908,1130.1878351908,17.6288192965233,0,0,17.6288192965233,17.6288192965233,27.5859142729187,0,0,27.5859142729187,27.5859142729187,0,41.9499875657359,0,0,3,0,0,3,1.48134492423069,0,0,1.48134492423069,"absent","MPB","absent","MPB",1,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4528",37274462010690,-9999,"88686.MT",2010,5160,46.616307,-113.418968,401.5140993441,0,0,579.9648101637,401.5140993441,24.2093374088961,0,0,24.2093374088961,27.3028567435529,18.4823380139022,0,0,33.9553432927211,18.4823380139022,0,24.7882309975759,0,0,25,0,0,25,17.9178008465826,0,0,17.9178008465826,"absent","MPB","absent","MPB",1,"PICO","absent","absent","PICO",1,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
"4529",37274463010690,-9999,"89544.MT",2010,6680,46.478058,-113.541994,579.9648101637,0,252.8051736611,832.7699838248,832.7699838248,19.1967116388091,0,15.4403884437574,18.1388153712261,18.1388153712261,16.7859384880257,0,4.73361250013591,21.5195509881616,21.5195509881616,0,24.6313296936698,0,7.61127363368534,0,0,0,0,0,0,0,0,"absent","absent","absent","none",0,"PICO","absent","ABLA","PICO+ABLA",2,"30","00767982","0400000US30","30","MT","Montana","00",376962738765,3869208832
